# Fundamental mode
0.1 399.913986258
1.1 399.050228783
2.1 396.835345237
3.1 392.836912952
4.1 386.826218687
5.1 378.332609481
6.1 366.873293894
7.1 352.213744112
8.1 334.836255513
9.1 316.216283412
10.1 298.318640412
11.1 282.59163442
12.1 269.533334538
13.1 258.974133245
14.1 250.49596447
15.1 243.664559524
16.1 238.112370942
17.1 233.558141302
18.1 229.778203373
19.1 226.610455521
20.1 223.930000547
21.1 221.642270321
22.1 219.67170793
23.1 217.961929067
24.1 216.473273158
25.1 215.165287703
26.1 214.008740481
27.1 212.982250594
28.1 212.066284868
29.1 211.242753959
30.1 210.502826172
31.1 209.841035261
32.1 209.230024232
33.1 208.687316167
34.1 208.178610689
35.1 207.728548633
36.1 207.301646807
37.1 206.919086003
38.1 206.565970729
39.1 206.229503762
40.1 205.927522167
41.1 205.650947224
42.1 205.386946253
43.1 205.13401985
44.1 204.908636249
45.1 204.702986251
46.1 204.506226524
47.1 204.317415656
48.1 204.135686211
49.1 203.962944525
50.1 203.817502141
51.1 203.678135104
52.1 203.544293718
53.1 203.415470245
54.1 203.291193883
55.1 203.17102622
56.1 203.054557161
57.1 202.941401255
58.1 202.846474978
59.1 202.75980847
60.1 202.676390744
61.1 202.595979553
62.1 202.518349239
63.1 202.443289091
64.1 202.370601838
65.1 202.300102292
66.1 202.231616099
67.1 202.164978606
68.1 202.100033846
69.1 202.036633542
70.1 201.974636235
71.1 201.913906464
72.1 201.854313957
73.1 201.810039958
74.1 201.768575003
75.1 201.728517608
76.1 201.689790271
77.1 201.652320134
78.1 201.616038627
79.1 201.580881133
80.1 201.546786711
81.1 201.513697799
82.1 201.481559978
83.1 201.450321722
84.1 201.419934204
85.1 201.390351075
86.1 201.361528302
87.1 201.333423978
88.1 201.305998177
89.1 201.2792128
90.1 201.253031438
91.1 201.227419243
92.1 201.202342808
93.1 201.177770059
94.1 201.153670139
95.1 201.130013307
96.1 201.106770854
97.1 201.083915004
98.1 201.061418821
99.1 201.03925614
100.1 201.017401479

# Mode 1
23.1 399.994931361
24.1 399.146590871
25.1 397.253497838
26.1 393.856466257
27.1 388.985506415
28.1 382.588632786
29.1 374.692468606
30.1 365.485594715
31.1 355.339274216
32.1 344.742710028
33.1 334.183613229
34.1 324.046213457
35.1 314.571934639
36.1 305.876288571
37.1 297.980968975
38.1 290.856881515
39.1 284.444207065
40.1 278.673280081
41.1 273.47771553
42.1 268.788543977
43.1 264.547457057
44.1 260.701949656
45.1 257.202524577
46.1 254.012401412
47.1 251.096648352
48.1 248.421677236
49.1 245.962510077
50.1 243.694919765
51.1 241.600500785
52.1 239.661327703
53.1 237.859995905
54.1 236.186413431
55.1 234.626676351
56.1 233.171743525
57.1 231.808200619
58.1 230.532190352
59.1 229.337076081
60.1 228.213301046
61.1 227.155309318
62.1 226.157782764
63.1 225.215634347
64.1 224.327627408
65.1 223.489503406
66.1 222.694088021
67.1 221.93708228
68.1 221.221821913
69.1 220.543467126
70.1 219.892612059
71.1 219.28089313
72.1 218.692431207
73.1 218.134769135
74.1 217.599964674
75.1 217.091818872
76.1 216.602304301
77.1 216.139587465
78.1 215.687682041
79.1 215.266335774
80.1 214.855421297
81.1 214.461332414
82.1 214.087973932
83.1 213.722932254
84.1 213.375125848
85.1 213.044153883
86.1 212.720461713
87.1 212.407686314
88.1 212.114205753
89.1 211.827730637
90.1 211.546512043
91.1 211.279606595
92.1 211.025860548
93.1 210.777902642
94.1 210.53434289
95.1 210.298952211
96.1 210.079133767
97.1 209.864731558
98.1 209.654636624
99.1 209.447783935
100.1 209.247626436

# Mode 2
47.1 399.239531975
48.1 397.627115415
49.1 394.658726392
50.1 390.531519352
51.1 385.324290874
52.1 379.149133799
53.1 372.188647418
54.1 364.680642886
55.1 356.884972808
56.1 349.040274044
57.1 341.340895424
58.1 333.924726487
59.1 326.879075104
60.1 320.24444833
61.1 314.039230004
62.1 308.255394357
63.1 302.878866983
64.1 297.884655462
65.1 293.247191681
66.1 288.938650542
67.1 284.930667836
68.1 281.203655824
69.1 277.727222143
70.1 274.483039404
71.1 271.45189361
72.1 268.613936232
73.1 265.952900019
74.1 263.455518424
75.1 261.108838561
76.1 258.898888277
77.1 256.815393666
78.1 254.848205478
79.1 252.987430797
80.1 251.231479077
81.1 249.564486671
82.1 247.984930032
83.1 246.482891547
84.1 245.058809873
85.1 243.701511822
86.1 242.407421516
87.1 241.175658186
88.1 240.001358582
89.1 238.879458371
90.1 237.806853059
91.1 236.780552845
92.1 235.79765558
93.1 234.855383804
94.1 233.955055617
95.1 233.091312606
96.1 232.260927496
97.1 231.461472964
98.1 230.69323469
99.1 229.958251112
100.1 229.247419828

# Mode 3
70.1 399.329258616
71.1 397.944272845
72.1 395.293113577
73.1 391.711230654
74.1 387.292605146
75.1 382.166430231
76.1 376.490565624
77.1 370.433030065
78.1 364.16092432
79.1 357.822679774
80.1 351.539338931
81.1 345.401011209
82.1 339.470740062
83.1 333.78754233
84.1 328.373088262
85.1 323.233533354
86.1 318.371626903
87.1 313.775156691
88.1 309.437313378
89.1 305.345748577
90.1 301.485214599
91.1 297.83906117
92.1 294.397352713
93.1 291.145258141
94.1 288.068628368
95.1 285.158299839
96.1 282.400995642
97.1 279.784751529
98.1 277.302616954
99.1 274.945469953
100.1 272.703280816

# Mode 4
93.1 399.415963543
94.1 398.190146305
95.1 395.835973089
96.1 392.65675069
97.1 388.799338609
98.1 384.393778862
99.1 379.567188531
100.1 374.448170861

